state_code,county_code,site_number,latitude,longitude,parameter_code,validity_indicator,parameter,sample_duration,arithmetic_mean,units_of_measure,date_local,aqi
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,38.0,Micrograms/cubic meter (25 C),1989-08-26,35
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,28.0,Micrograms/cubic meter (25 C),1989-08-28,26
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,34.0,Micrograms/cubic meter (25 C),1989-08-30,31
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,21.0,Micrograms/cubic meter (25 C),1989-09-01,19
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,24.0,Micrograms/cubic meter (25 C),1989-09-03,22
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,46.0,Micrograms/cubic meter (25 C),1989-09-05,43
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,25.0,Micrograms/cubic meter (25 C),1989-09-07,23
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,10.0,Micrograms/cubic meter (25 C),1989-09-09,9
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,17.0,Micrograms/cubic meter (25 C),1989-09-11,16
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,12.0,Micrograms/cubic meter (25 C),1989-09-13,11
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,30.0,Micrograms/cubic meter (25 C),1989-09-15,28
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,24.0,Micrograms/cubic meter (25 C),1989-09-17,22
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,49.0,Micrograms/cubic meter (25 C),1989-09-19,45
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,65.0,Micrograms/cubic meter (25 C),1989-09-21,56
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,16.0,Micrograms/cubic meter (25 C),1989-09-23,15
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,34.0,Micrograms/cubic meter (25 C),1989-09-25,31
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,35.0,Micrograms/cubic meter (25 C),1989-09-27,32
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,66.0,Micrograms/cubic meter (25 C),1989-09-29,56
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,46.0,Micrograms/cubic meter (25 C),1989-10-01,43
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,31.0,Micrograms/cubic meter (25 C),1989-10-03,29
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,26.0,Micrograms/cubic meter (25 C),1989-10-05,24
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,19.0,Micrograms/cubic meter (25 C),1989-10-07,18
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,23.0,Micrograms/cubic meter (25 C),1989-10-09,21
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,39.0,Micrograms/cubic meter (25 C),1989-10-11,36
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,54.0,Micrograms/cubic meter (25 C),1989-10-13,50
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,41.0,Micrograms/cubic meter (25 C),1989-10-15,38
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,7.0,Micrograms/cubic meter (25 C),1989-10-17,6
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,14.0,Micrograms/cubic meter (25 C),1989-10-19,13
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,57.0,Micrograms/cubic meter (25 C),1989-10-21,52
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,52.0,Micrograms/cubic meter (25 C),1989-10-23,48
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,26.0,Micrograms/cubic meter (25 C),1989-10-25,24
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,59.0,Micrograms/cubic meter (25 C),1989-10-27,53
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,41.0,Micrograms/cubic meter (25 C),1989-10-29,38
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,12.0,Micrograms/cubic meter (25 C),1989-10-31,11
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,31.0,Micrograms/cubic meter (25 C),1990-05-01,29
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,6.0,Micrograms/cubic meter (25 C),1990-05-03,6
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,33.0,Micrograms/cubic meter (25 C),1990-05-05,31
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,32.0,Micrograms/cubic meter (25 C),1990-05-07,30
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,13.0,Micrograms/cubic meter (25 C),1990-05-09,12
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,23.0,Micrograms/cubic meter (25 C),1990-05-11,21
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,25.0,Micrograms/cubic meter (25 C),1990-05-13,23
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,25.0,Micrograms/cubic meter (25 C),1990-05-15,23
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,15.0,Micrograms/cubic meter (25 C),1990-05-17,14
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,9.0,Micrograms/cubic meter (25 C),1990-05-19,8
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,11.0,Micrograms/cubic meter (25 C),1990-05-21,10
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,22.0,Micrograms/cubic meter (25 C),1990-05-23,20
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,38.0,Micrograms/cubic meter (25 C),1990-05-25,35
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,34.0,Micrograms/cubic meter (25 C),1990-05-27,31
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,19.0,Micrograms/cubic meter (25 C),1990-05-29,18
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,40.0,Micrograms/cubic meter (25 C),1990-05-31,37
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,27.0,Micrograms/cubic meter (25 C),1990-06-02,25
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,14.0,Micrograms/cubic meter (25 C),1990-06-04,13
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,21.0,Micrograms/cubic meter (25 C),1990-06-06,19
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,22.0,Micrograms/cubic meter (25 C),1990-06-08,20
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,23.0,Micrograms/cubic meter (25 C),1990-06-10,21
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,49.0,Micrograms/cubic meter (25 C),1990-06-12,45
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,30.0,Micrograms/cubic meter (25 C),1990-06-16,28
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,32.0,Micrograms/cubic meter (25 C),1990-06-18,30
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,20.0,Micrograms/cubic meter (25 C),1990-06-20,19
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,9.0,Micrograms/cubic meter (25 C),1990-06-22,8
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,15.0,Micrograms/cubic meter (25 C),1990-06-24,14
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,25.0,Micrograms/cubic meter (25 C),1990-06-26,23
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,23.0,Micrograms/cubic meter (25 C),1990-06-28,21
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,19.0,Micrograms/cubic meter (25 C),1990-06-30,18
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,42.0,Micrograms/cubic meter (25 C),1990-07-02,39
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,19.0,Micrograms/cubic meter (25 C),1990-07-10,18
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,24.0,Micrograms/cubic meter (25 C),1990-07-16,22
